alcunhar	denominar/chamar/nomear
alegar	testificar/atestar/evidenciar/testemunhar/provar/mostrar/reinvindicar/asseverar/sustentar/manter
alegorizar	modificar/alterar/mudar/compreender/entender
alegrar	sentir/experimentar/regozijar/regozijar/regozijar-se/regozijar-se/alegrar-se/alegrar-se
alegrar-se	sentir/experimentar/regozijar/regozijar-se/alegrar
aleijar	indispor
alentar	inspirar/exaltar/encorajar/animar
alertar	avisar/advertir/informar
alfabetizar	prover/abastecer/fornecer/suprir
alfinetar	fixar/magoar/ofender/prender/provocar/perfurar/furar
algemar	deter/confinar/reter/prender/manter
alhear	modificar/alterar/mudar/comover/afetar/impressionar/parecer
aliar	fundir/combinar/misturar
alienar	modificar/alterar/ceder/entregar/mudar/passar/dar/comover/providenciar/transferir/afetar/arranjar/impressionar/parecer
alijar	atirar/jogar/lançar/descartar
alimentar	aproveitar/prover/prover/abastecer/abastecer/explorar/fornecer/fornecer/suprir/suprir/usar/provisionar/provisionar/provisionar/provisionar/provisionar/alentar/comover/emocionar/prover/prover/prover/prover/prover/abastecer/abastecer/abastecer/abastecer/abastecer/encorajar/encorajar/promover/fornecer/fornecer/fornecer/fornecer/fornecer/estimular/estimular/excitar/servir/servir/servir/servir/servir
alinhar	acertar/ajustar/corrigir/posicionar/situar
alinhavar	discutir/acoplar/causar/criar/juntar/unir/provocar/fazer
alisar	lustrar/polir/dispor/arranjar
alistar	recrutar/inscrever/registar/registrar
aliviar	acorrer/aperfeiçoar/socorrer/assistir/auxiliar/ajudar/melhorar/atenuar/atenuar/amenizar/amenizar/suprir/satisfazer/melhorar/melhorar
almejar	planear/planejar
almoçar	comer
alocar	lotear/atribuir
alojar	morar/povoar/habitar/viver
alongar	estressar/tensionar/deslocar/mover/mexer/ampliar/progredir/crescer/aumentar/aumentar
altear	acrescer/acrescentar/crescer/aumentar
alterar	modificar/mudar
alternar	inverter/agir/reverter/tornar/atuar/virar/fazer
alucinar	aperceber/aperceber-se/perceber/entender
aludir	mencionar/referir/transmitir/passar
alugar	emprestar/prestar/comprar/obter/adquirir/receber/entregar/dar
alumiar	modificar/alterar/mudar/radiar/alterar/irradiar/mudar
aluminizar	tampar/cobrir
alvejar	descolorir/colorir
alçar	elevar/erguer/levantar/deslocar/mover
amaciar	romper/modificar/modificar/alterar/alterar/mudar/mudar/quebrar
amadurecer	modificar/alterar/mudar/progredir/desenvolver
amalgamar	modificar/alterar/mudar
amaneirar	modificar/alterar/mudar
amanhecer	alterar/mudar
amansar	modificar/modificar/alterar/alterar/mudar/mudar/adequar/adaptar/ajustar
amanteigar	tampar/cobrir
amarelar	descolorir/colorir
amarfanhar	mudar
