ab-rogação	revogação
agente	detective/entorpecente/droga/detetive/medicamento/policial/tira/remédio/substituto/representante/antifungico/antiácido/booker/condestável/desinfectante/desinfetante/diluente/fungicida/fungicidas/gendarme/germicida/lixívia/menino-prodigio/procuradora/delegado/descorante/fungicida/inspector/inspetor/procurador/policial/demônio/espião/polícia/representante
agitação	sacolejo
aglomerado	topete
aglomeração	biota/exposições/galáxia/suma/transito/tránsito/trânsito/aglomerado/bando/embalagem/embrulho/flora/guarda-roupa/nebulosa/torrão/tráfego/trânsito/vegetação/biologia/circulação/cúmulo/jurisprudência/mão/punhado/monte/tesouro/acúmulo/lei/montão/pacote/combinação/exposição/pilha/pedaço/bola/jogo/grupo/asia/dados/encepamento/farmacopéia/miscelanea/mitologia/potpourri/repertório/romaria/colagem/fauna/fornada/herbário/mitologia/zoologia/ásia/cúmulo/europa/farpa/lote/universo/categoria/escultura/frota/procissão/aviação/biblioteca/comboio/acúmulo/bloco/conjunto/informação/pacote/livro/mistura/pilha/família/multidão/grupo/massa/classe
agonia	paixão
agouro	agoiro/dica/sinal/sintoma/sintomas/vestígios/adivinhação/augúrio/profecia/sintoma/indício/presságio/vestígio/evidência/gesto/indicação/prognóstico/manifestação/marca
agradecimento	agrado
agregador	arquivista/filatelista/numismata
agregação	conquiliologia/filatelia/recolha/arrecadação/compilação/aglomeração/reunião
agressividade	ousadia/audácia/competitividade
agressor	bigorrilha/fera/rufião/estuprador/violador/besta
agressão	violência/força/saque/pilhagem
agricultor	abelheiro/apicultor/contadino/plantador/rancheiro/semeador/vinicultor/viticultor/agrônomo/cultivador/fazendeiro
agricultura	arboricultura/hidroponia/horticultura/pecuária
agrião	mastruço
agrupamento	pontuação/sortimento/agregação/categorização/coleção/classificação/reunião
agrupação	colecção/coleção/linhagem/aglomeração/raça/acúmulo/população/gente/pessoal/sistema/organização/povo/actinídeo/actinídeos/enxame/etnicidade/halogénio/halogênio/lantanídeo/lantanídio/subgrupo/arranjo/comunidade/etnia/humanidade/nuvem/raça/edição/mundo/população/gente/reino/homem/povo/massa
agrônomo	vinicultor/viticultor
agulha	pináculo
agência	secretaria/órgão
aia	parteira
aide-de-acampamento	oficial-de-gabinete
aipo	salsão
ajuda	auxilio/consolação/consolo/apoio/mão/conforto/suporte/bolsa/serviço/auto-ajuda/facilitação/filantropia/alojamento/socorro/misericórdia/piedade/assistência/recurso
ajudante	aeromoço/tafeiro/manequim/secretário/secretária/modelo/coadjutor/comparsa/cortesão/doula/mandarete/escudeiro/facilitador/salva-vidas/cúmplice/subordinado/assistente/peão/suplente/acompanhante/empregado/substituto/auxiliar/ponto
ajudante-de-ordens	oficial-de-gabinete
ajustagem	vocalização/alinhamento/sincronização
ajustamento	habituação/domesticação
ajustamentos	regressão/repressão/negação
ajuste	acomodação/personalização/adaptação
akrobata	contorcionista/equilibrista/funâmbulo
ala	élitro
alarme	buzina/alarmismo/groźba/sirena/ressalva/sereia/sirene/ameaça
alarmes	sirena/sirene
alavanca	manche/balanceiro/pedal/tecla/gatilho/pé-de-cabra
albatroz	albatroz-errante
albergaria	caravancerá/caravançarai/caravançará/hospedaria
albergue	caravancerá/caravançarai/caravançará/hospedaria
album	scrapbooking
albumina	ricina
alcalóide	atropina/cafeina/cafeína/curare/efedrina/ergotamina/escopolamina/estricnina/fisostigmina/nicotina/pilocarpina
alcance	comprimento/escopo/longitude/espectro/órbita/área/extensão/fundura/internacionalismo/limites/vastidão/internacionalismo/profundidade/âmbito/contraste/expansão/profundeza/gama/horizonte/limitação/fronteira/limite
alcano	amina/aminas/butano/etano/heptano/hexano/metano
alcantilado	precipício
alcool	cicloexanol/diol/esterol/glicerina/glicerol/metanol/etanol
alcoolatra	chupador/sugador
aldeia	moshav
aldeído	acroleina/acroleína/etanal/furfural/gliceraldeído/metanal
aldeídos	acroleina/acroleína/etanal/furfural/gliceraldeído/metanal
aldo-hexose	glicose/glucose
aldohexose	glicose/glucose
aldohexoses	glicose/glucose
aldose	aldo-hexose/aldohexose/aldohexoses
aldoses	aldo-hexose/aldohexose/aldohexoses
ale	porter
alegação	acusação
alegria	bonheur/exuberância/exultação/hilariedade/regozijo/contentamento/gozo/júbilo/pertence/risada/encantamento/euforia/realizado/satisfeito/contente
alemã	teutões/bávaro/prussiano
alemão	iídiche/teutões/bávaro/prussiano
alento	exalação
alerce	lariço-europeu
alergia	atopia
alfabeto	arménia/armênia/cirílico
alface	iceberg
alfaia	aparelhador/cómoda/gaveteiro/candeeiro/cômoda/luminária/assento/estante/mesa/armário/cadeira/bufete/estante/guardarroupas/prateleiras/guarda-roupas/estante/mesa/pia/armário
alfavaca	manjericão
alfinete	alfinete-de-dama/forquilha/pino/rebite/espetada/fíbula/espeto
alga	diatomácea/diatomáceas/euglenofita/euglenófita/macroalga/phaeophyta/rhodophyta
algaravia	abracadabra/balbucio
algarismo	zero/número/1/4/8/9/dois/oito/quatro/sete/3/6/duas/dois/trio/três/quarteto/um
algas	diatomácea/diatomáceas/euglenofita/euglenófita/macroalga/phaeophyta/rhodophyta/alga
algema	ferros/grilhetas/grilhões/peia/algemas/grilhão
algodão	gaze
algonquinos	abenaki/arapaho/blackfoot/moicanos/wampanoags/cree
algoz	carrasco/verdugo
