abaixar	subordinar/subjugar/submeter/dominar
pipilar	gorjear/guinchar/piar
piscar	palpebrar/pestanejar
planear	almejar/aspirar/pretender/esperar
planejar	engenhar/maquinar/orquestrar/organizar/almejar/planificar/redesenhar/engendrar/orçar/aspirar/destinar/esquematizar/arregimentar/conceber/programar/agendar/projectar/projetar/compor/pretender/propor/organizar/esperar/mostrar
planificar	programar
plantar	produzir/fazer/arborizar/replantar/semear/enraizar
plotar	diagramar
podar	cisalhar/tosar
poetizar	elegizar/metrificar
policiar	espiar
polir	aculturar/civilizar/escolar/lustrar/alisar/educar/cultivar/treinar
poluir	infetar/infectar/contaminar
ponderar	questionar/perguntar/introspectar/premeditar/teologizar/cogitar/refletir/julgar/pensar/pedir/considerar
pontuar	incidir/re-enfatizar/topicalizar/grifar/sublinhar/enfatizar/clarificar/focar
popular	povoar-se/povoar
portar	balancear/equilibrar/comportar-se/resistir/conduzir
posar	fingir
posicionar	alinhar/orientar/mirar/direcionar/apontar
posicionar-se	classificar-se/vir/chegar
pospor	segurar
possibilitar	dotar/equipar/investir
possuir	exibir
postar	afixar
postergar	segurar
postular	insistir/afirmar
posturar	fingir
poupar	entesourar/economizar/registar/registrar
pousar	abicar/desembarcar-se/desembarcar
povoar	alojar/morar/acampar/coabitar/conviver/domiciliar/povoar-se/sobrepovoar/superpovoar/aninhar/nidificar/ninhar/residir/superlotar/bordejar/morar/habitar/viver/ocupar
praticar	shamanizar
preceder	desbravar/liderar
precipitar	gear/granizar/nevar/chover/pingar/cuspir
precisar	clamar/custar/demandar
predestinar	azarar
predeterminar	preordenar/predestinar
predicar	sermonizar/julgar
predizer	apostar/augurar/prenunciar/profetizar/vaticinar/calcular/prognosticar/ameaçar/adivinhar/ler/planejar/prever/admitir/considerar
predominar	preponderar/prevalecer
preferir	preferenciar/desistir
prefigurar	prenunciar/profetizar/ameaçar/predizer
pregar	sermonizar/evangelizar/julgar
preguear	amassar
preguiçar	bundar/vagabondear
prejudicar	dificultar
prejulgar	predeterminar
premiar	conferir/certificar/outorgar/conceder
prender	emprisonar/encarcerar/engaiolar/incarcerar/enganchar/aprisionar/trancar/pendurar/abotoar/acolchetar/afivelar/agrafar/agrilhoar/ancorar/barricar-se/emprisionar/engastar/entrincheirar-se/zipar/acorrentar/algemar/cingir/entrincheirar/escorar/estacar/rebitar/encadear/grampear/implantar/internar/alfinetar/aprisionar/atracar/conectar/cravar/trancar/pendurar/amarrar/atar/forçar/ligar/colocar
prensar	esmagar/espremer/apertar/espremer/empurrar
prenunciar	profetizar/ameaçar/predizer
preocupar	inquietar/obsedar/amedrontar/assombrar/apavorar/consumir/comer/incomodar
preocupar-se	apoquentar/obcecar/obsediar/remoer/temer/cuidar
preordenar	azarar
preparar	preservar/conservar/flambar/desfraldar/retreinar/improvisar/esboçar/providenciar/socializar/cultivar/qualificar/instruir/trabalhar/treinar
preparar-se	retreinar
presentar	discursar
presentear	conferir/certificar/outorgar/conceder
preservar	persistir/perseverar/prolongar/alongar/sustentar/desidratar/embalsamar/enlatar/perpetuar/salgar/economizar/mumificar/refrigerar/retomar/recomeçar/poupar/conservar/prosseguir/registar/registrar/continuar
pressagiar	prenunciar/profetizar/ameaçar/predizer
pressentir	apostar/augurar/calcular/prognosticar/adivinhar/ler/predizer/prever
pressionar	esmagar/espremer/apertar/esforçar-se/espremer/empurrar
pressupor	postular/assumir
prestar	alugar
prestigiar	tolerar/brindar/condecorar/dignificar/celebrar
presumir	aperrear/atazanar/chicanear/fuxicar/pressupor
pretender	pressentir/prognosticar/adivinhar/predizer/prever/planear/suspeitar/planejar/propor
preterir	pular/elidir/esquecer
prever	apostar/augurar/prenunciar/profetizar/calcular/prognosticar/ameaçar/adivinhar/ler/predizer/planejar/admitir/considerar
prezar	admirar/estimar/reverenciar/venerar/temer
principiar	raiar/acometer/alvorecer/deslanchar/despontar/abraçar/recomeçar/mergulhar/embarcar/atacar/lançar/começar
privar	jejuar/apoderar/desapossar/desapropriar/deserdar/desmamar/expropriar/empobrecer/esfomear/jejuar/desarmar/despir/evitar
privar-se	jejuar/evitar
proceder	aventurar/embarcar
proclamar	ditar/trombetear/enumerar/declarar
procrastinar	segurar
procriar	eclodir/libertar/livrar/frutificar/propagar/gerar/soltar/desenvolver/liberar
procurar	arriscar/esgravatar/googlar/guglar/montear/palpar/pelejar/re-explorar/tatear/empenhar/esforçar/revolver/vasculhar/azarar/batalhar/esforçar-se/revirar/apalpar/mapear/navegar/arriscar/perseguir/coletar/tentar/registar/pedir
produzir	reproduzir/gerar/criar/trazer/fazer/customizar/esporular/generar/subproduzir/pre-fabricar/superproduzir/manufaturar/pacificar/publicar/editar/elaborar/laminar/refazer/cumprir/efetuar/imprimir/precipitar/pulsar/remodelar/induzir/gravar/introduzir/parir/executar/realizar/ter/servir/deixar/atingir/manter/fazer
proferir	cochichar/xingar/balbuciar/blasfemar/rosnar/sussurrar/resmungar/murmurar/insultar/berrar/cantar/contar/falar/gritar/dizer/abrir-se/lamuriar/presentar/balbuciar/estranhar/gaguejar/ladrar/maravilhar/maravilhar-se/sibilar/bradar/exclamar/generalizar/proclamar/pronunciar/vociferar/choramingar/despejar/discutir/ralar/modular/murmurar/tagarelar/verbalizar/conversar/vocalizar/berrar/desaprovar/expressar/reclamar/soltar/apresentar/atirar/desejar/falar/gritar/dizer/representar/lançar/começar
profetizar	prenunciar/ameaçar/predizer
prognosticar	apostar/augurar/prenunciar/profetizar/calcular/ameaçar/adivinhar/ler/predizer/planejar/prever/admitir/considerar
programar	hackear
progredir	ampliar/amadurecer/envelhecer/intensificar/estender/aumentar/adolescer/capengar/desdobrar-se/evoluir/florir/gomar/incubar/rebentar/desabrochar/maximizar/envelhecer/multiplicar/florescer/avançar/passear/alongar/elevar/expandir/acumular/diferenciar/escalar/regenerar/crescer/desenvolver/dirigir/estender/ir/subir/aumentar
proibir	obstaculizar/tolher/obstruir/atrapalhar/bloquear/contrariar/frustrar/obviar/criminalizar/demover/embargar/proscrever/barrar/intimar/sustar/desconcertar/travar/censurar/excluir/evitar/parar
projectar	redesenhar/engendrar/conceber/projetar/planejar
projetar	redesenhar/engendrar/conceber/projectar/planejar/disparar
prolongar	prolongar-se/temporizar/durar
prometer	penhorar/noivar/jurar/garantir/contratar
promover	favorecer/preferir/enobrecer/nobilitar/advogar/propagandear/contribuir/instigar/incentivar/estimular/lutar/ajudar/alimentar/levar/provocar/agitar
promulgar	legislar/redecretar/trombetear/declarar
pronunciar	inocentar/absolver/condenar/cecear/ciciar/labelizar/palatalizar/silabificar/subvocalizar/trilar/acentuar/desqualificar/nasalizar/entoar/propagandear/discursar/clicar/qualificar/vocalizar/cantar/esticar/julgar/enrolar/declarar
propagar	inocular/vegetar
propor	nominar/apresentar/advocar/recomendar/renomear/atestar/urgir/promover/cantar/submeter/introduzir/declarar/oferecer/dizer
propulsar	atirar/jogar/lançar/catapultar/impulsionar/chutar/pregar/prender/carregar/lançar/bater
propulsionar	atirar/jogar/lançar/catapultar/cotovelar/apunhalar/cutucar/esfaquear/acotovelar/socar/impulsionar/chutar/pregar/forçar/prender/carregar/lançar/bater
prorrogar	temporizar/segurar
proscrever	criminalizar/barrar/intimar/proibir/excluir
prosear	conversar
prosseguir	capengar/entender-se/cometer/passear/praticar/permanecer/dirigir/continuar/seguir/ir/manter
protagonizar	co-estrelar/co-protagonizar/coadjuvar/coestrelar
proteger	salvaguardar/assegurar/salvar/defender/guardar/segurar/emparedar/imunizar/protejer/indenizar/cercar/enfeitiçar/preservar/defender/cobrir/manter
protelar	segurar
protestar	manifestar-se/paralizar/parar/amotinar-se/insurgir/insurgir-se/rebelar/rebelar-se/revoltar-se/amotinar/revoltar
protocolar	recrutar/inscrever/listar/registar/registrar/patentear/reservar/registar/registrar
provar	validar/demonstrar/autenticar/degustar/notarizar/redundar/sobrevir/aduzir/alegar/documentar/referendar/manifestar/presumir/resultar/validar/citar/condenar/demonstrar/certificar/suceder/verificar/confirmar/refletir/suportar/seguir/dizer
prover	apetrechar/aparelhar/equipar/suprir/alimentar/servir/carregar/dar/abrigar/acortinar/alfabetizar/amparar/encortinar/envidraçar/estocar/legendar/mobiliar/reflectorizar/sanitarizar/transistorizar/calhar/computadorizar/estofar/indulgir/informatizar/nutrir/ofertar/armar/armazenar/condicionar/constitucionalizar/equipar/hidratar/possibilitar/regalar/aguar/articular/capitalizar/datar/despejar/encharcar/forrar/hospedar/molhar/providenciar/assentar/associar-se/esquentar/proporcionar/regar/abastecer/aquecer/canalizar/derramar/renovar/acomodar/arranjar/fornecer/sinalizar/suprir/arrumar/permitir/abrir/ajudar/satisfazer/alimentar/estender/oferecer/encontrar/servir/deixar/dar
providenciar	ministrar/alienar/dispor/cuidar
provir	advir/originar/emergir
provisionar	alimentar/servir/dar/calhar/indulgir/nutrir/regalar/encharcar/forrar/hospedar/regar/acomodar/arranjar/suprir/arrumar/ajudar/satisfazer/alimentar/encontrar/servir
provocar	contagiar/concitar/desencaminhar/elicitar/engendrar/engodar/filmar/infetar/infectar/magoar/procriar/recriar/ofender/copiar/gerar/seduzir/compor/formar/escrever/estimular/incitar/atrair/organizar/dirigir/fazer/desovar/dilacerar/dinamitar/enfadar/esporar/esporear/fomentar/humilhar/infatuar/instaurar/motivar/ocasionar/pioneirar/reptar/tormentar/usinar/adjudicar/aguilhoar/coreografar/descompor/edificar/empreender/encolerizar/facilitar/fender/instituir/irar/lacerar/propulsar/retalhar/zangar/alinhavar/apaixonar/atalhar/comover/concretizar/confeccionar/envergonhar/estilizar/imaginar/impelir/inflamar/influenciar/interessar/manufaturar/mortificar/riscar/alfinetar/atormentar/conceber/crucificar/derivar/desconcertar/destilar/enraivecer/fabricar/moldar/originar/procriar/puncturar/reacender/recortar/recriar/reproduzir/substanciar/aviltar/cumprir/efetuar/emocionar/ofender/precipitar/verbalizar/gerar/importunar/impulsionar/incentivar/induzir/insultar/seduzir/extrair/montar/rebaixar/tentar/acender/causar/compor/determinar/outorgar/produzir/regenerar/estabelecer/estimular/incitar/preparar/arrumar/atrair/explodir/furar/machucar/perturbar/animar/executar/confundir/construir/excitar/realizar/superar/criar/iniciar/pedir/trazer/levantar/reunir/servir/deixar/incomodar/atingir/começar/tocar/dar/cortar/fazer
publicar	reeditar
publicitar	advogar/propagandear/promover/lutar/agitar
pular	pulicar/pulinhar/saltitar/arrebentar/saltar
pulsar	palpitar
puncionar	escarificar
puncturar	escarificar
punir	executar/desagravar/desforrar/pixar/revidar/vingar/retaliar/vitimizar/flagelar/vitimar/castigar/disciplinar/corrigir
purgar	lavar/desempoeirar/desinfectar/desinfetar/higienizar/catar/sanitizar/escovar/varrer
purificar	depurar/espiritualizar/purgar/refinar
putrefazer	estragar/biodegradar/apodrecer/estragar
puxar	arrastar/atrair/abduzir/aduzir/arrancar/embrulhar/arrastar/arranjar/esticar/tremer/tirar
pôr	deitar/semear/instalar/enterrar/dispor/plantar/arranjar/perder/colocar/carregar/aconchegar-se/apoiar-se/atochar/embarrelar/emprateleirar/espaçar/glicerolizar/justapor/recolocar/repor/aconchegar/arborizar/botar/embarricar/empoleirar/engarrafar/envasar/estacionar/paralelizar/posicionar/reclinar/replantar/reposicionar/sepultar/sifonar/soterrar/sedimentar/sobrepor/enraizar/fixar/inserir/instalar/posar/receder/sentar-se/assentar/confinar/enterrar/estratificar/sentar/dispor/situar/acariciar/acumular/apoiar/sinalizar/erguer/introduzir/experimentar/atirar/jogar/levantar/colocar
qualificar	capacitar/distinguir/diferenciar/marcar
quantificar	cronometrar/pesar/titular/pesar/andar
quebrar	fissurar/implodir/refraturar/cascar/conflitar/desfilar/despedaçar/estilhaçar/fracturar/infringir/pecar/trincar/amaciar/decepar/transgredir/trespassar/descascar/desfiar/invadir/afundar
quedar	ficar
queimar	incendiar/acender/abrasar/cremar/escaldar/carbonizar/deflagrar/fumegar/urticar/incendiar/arder/cintilar
queixar	embirrar/deplorar/pentelhar/ralhar/lastimar/protestar/queixar-se/reportar/resmungar/choramingar/murmurar/investir/reclamar/lamentar/gritar/incomodar
querelar	porfiar
querer	ansiar/suspirar/desejar/ambicionar/cobiçar/esperançar/invejar/agradar/aguardar/perseguir/pretender/esperar/procurar/desejar
questionar	interrogar/perguntar/perguntar-se/sondar/interrogar/ponderar/perguntar/pedir
quitar	aposentar-se/exonerar-se/demitir-se/resignar/renunciar/cair
rachar	fissurar/trincar
raciocinar	centrar/ruminar/concentrar/associar/cogitar/conectar/relacionar/ponderar/especular/focar/contemplar/planejar/refletir/balizar/categorizar/encafifar/filosofar/meditar/computar/prestar/teorizar/calcular/cogitar/inferir/ponderar/deduzir/especular/racionalizar/contemplar/avaliar/decidir/concluir/julgar/pensar/chegar/achar
racionalizar	paliar/pleitar/atenuar/mitigar/remediar
radiar	alumiar/piscar/cintilar/brilhar
ramificar	arborizar
ranger	mastigar/mascar
ranquiar	priorizar/super-ordenar/reordenar/sequenciar/subordinar/distribuir/arranjar/rebaixar
rascar	arranhar
rasgar	esfarrapar/trinchar/desfiar
raspar	tonsurar/arranhar
rastejar	formigar
rastejar-se	formigar
ratificar	coassinar/assinar
re-adquirir	acessar
re-emergir	voltar/retornar
re-ocorrer	iterar
reagir	recusar/explodir/rejeitar/admirar-se/bromar/espirrar/atender/maravilhar/maravilhar-se/peidar/salivar/notar/exagerar/pestanejar/piscar/admirar/consentir/tratar/aprovar/recusar/responder/concordar/rejeitar/reconhecer/receber/resistir/aceitar
realizar	bastar/fasear/consumar/encarnar/desempenhar/cumprir/culminar/expressar/perceber/apreciar/executar/obter/compreender/chegar/servir/atingir/cobrir/começar/fazer
reaparecer	voltar/retornar
reapresentar	traduzir/citar/extratar/parafrasear/remoer/sumarizar/sintetizar/resumir
reaproveitar	repaginar/requentar/reusar/reutilizar
rearranjar	recodificar/reorganizar
rebaixar	desumanizar/esmagar/degradar/aviltar/desvalorizar/inclinar/reduzir
rebater	opor/responder
rebelar	sublevar/amotinar/revoltar
rebelar-se	sublevar/amotinar/revoltar
rebocar	arrastar
recapturar	reconquistar
recear	apavorar-se/apavorar/temer
receber	bacharelar/beneficiar-se/formar-se/re-adquirir/beneficiar/herdar/reconquistar/reganhar/auferir/colecionar/graduar/lucrar/recolher/apanhar/comprar/recuperar/coletar/formar/ganhar/capturar/obter/adquirir/encontrar/reunir/atingir/pegar/reaver/vivenciar/banquetear/compartir/experienciar/fretar/reganhar/topar/apurar/empossar/festejar/partilhar/ascender/alugar/conseguir/exprimir/comprar/induzir/recuperar/extrair/isolar/expressar/ganhar/parir/experimentar/obter/tomar/admitir/adquirir/encontrar/ter/aceitar/atingir/achar/dividir/fazer
recender	tresandar/feder/cheirar
rechaçar	indignar/tanger/atemorizar/espantar/nausear/repugnar/repulsar/enojar/revoltar/banir/intimidar
reciclar	repaginar/requentar/reusar/reutilizar
recitar	declamar/soletrar/contar/dizer
reclamar	embirrar/requesionar/arrogar/deplorar/pentelhar/ralhar/lastimar/protestar/queixar-se/reportar/resmungar/choramingar/murmurar/investir/pretender/lamentar/gritar/incomodar
recolher	arrecadar/catar/colher/apanhar/respigar/arquivar/reagrupar/mobilizar/colher/convocar/retirar/juntar/reunir
recompensar	ressarcir/reembolsar
reconciliar	apaziguar/acalmar/ajustar
reconfortar	tranqüilizar/aquietar/silenciar/tranquilizar/acalmar/aquietar/pacificar/acalmar/aliviar
reconhecer	apreciar/brindar/condecorar/dignificar/honrar/prestigiar/distinguir/descartar/confessar/identificar/diferenciar/conceder/admitir/separar
reconquistar	acessar
reconstruir	etimologizar
recontar	narrar/relatar
recordar	relembrar/rever/reconhecer/espezinhar/comemorar/imortalizar/pentelhar/rememorar/rever/conhecer/reclamar/incomodar
recordar-se	reconhecer/rever/conhecer
recorrer	iterar
recriar	contrafazer/desempenhar/falsificar/simular/modelar/apresentar/fazer/clonar/encenar/fictionalizar/reencenar/figurar/recontar/traçar/recitar/copiar/renovar/atuar/imitar/regenerar/repetir/executar/apresentar/representar/tocar/fazer
recrutar	inscrever/registar/registrar/matricular/sindicalizar/ingressar/alistar
recuar	retrair/retrogradar/afastar
recuperar	acessar
recusar	desacatar/desobedecer/desprezar/esnobar/repelir/repudiar/lamentar/rejeitar
redesignar	comutar/permutar/secundar/trocar
redigir	subscrever/visar/assinar/apostrofizar/digitar/rabiscar/datilografar/interpolar/reescrever/estilizar/editar/registar/corrigir/registrar
redirecionar	sublimar
redizer	traduzir/citar/extratar/parafrasear/remoer/sumarizar/sintetizar/resumir
redundar	advir/derivar/resultar/vir/seguir
reduzir	encurtar/resumir/condensar/abreviar/atrasar/diminuir/circunscrever/deprivar/desescalonar/despovoar/desprover/embotar/miniaturizar/redimensionar/abaixar/desmerecer/mitigar/subtrair/encurtar/retardar/deprimir/desacelerar/encolher/confinar/minimizar/abreviar/contrair/ferver/minguar/suprimir/enfraquecer/limitar/restringir/diminuir
reescrever	rever/decodificar/descodificar/transliterar/decifrar
refazer	remodelar
referir	aludir/mencionar/citar/centrar/interessar/valer/comprometer/afetar/aplicar/enviar
refinar	aculturar/civilizar/escolar/sofisticar/educar/cultivar/treinar/desenvolver
refletir	centrar/ruminar/concentrar/associar/cogitar/conectar/relacionar/ponderar/especular/focar/questionar/contemplar/perguntar/planejar/balizar/encafifar/filosofar/introspectar/meditar/coruscar/espelhar/opalescer/premeditar/prestar/resplandecer/teologizar/lucilar/raciocinar/cogitar/inferir/ponderar/reverberar/deduzir/racionalizar/contemplar/avaliar/cintilar/decidir/concluir/julgar/pensar/chegar/considerar/achar
reformar	moralizar
reforçar	minar
refrear	conquistar/sufocar/reprimir/suprimir/limitar/restringir/conter/controlar/abnegar/abster/mortificar/crucificar/subjugar/desanimar/limitar/recusar/restringir/treinar
refrescar	refrigerar/arejar/gelar/aerar
refrigerar	gelar
refutar	desmentir/opor/rebater/detonar/falsificar/responder/explodir
regalar	legar/doar/distribuir/deixar/entregar/passar/dar/gratificar/rifar/dotar/render-se/alcoolizar/ceder/submeter/apreciar/oferecer/entregar/dar
reganhar	descobrir/encontrar/achar/acessar/localizar/sentir/descobrir/achar
regatear	pechinchar/barganhar
regenerar	rejuvenescer/moralizar/reviver
reger	gerir/governar/reinar/açambarcar/esterçar/presidir/atrelar/internacionalizar/monopolizar/governar/manobrar/reinar/arregimentar/ditar/preocupar/canalizar/enfeitiçar/lidar/cuidar/reino/direcionar/dominar/encantar/ocupar/guiar/controlar/dirigir
registar	documentar/filmar/recrutar/inscrever/listar/gravar/registrar/manter/cronicalizar/fotografar/matricular/patentear/sindicalizar/anotar/arquivar/filmar/ingressar/protocolar/alistar/reservar/marcar/gravar/adicionar/indicar/registrar/lançar
registrar	documentar/filmar/recrutar/inscrever/listar/gravar/registar/manter/cronicalizar/fotografar/matricular/patentear/sindicalizar/anotar/arquivar/filmar/ingressar/protocolar/alistar/reservar/marcar/gravar/registar/adicionar/indicar/dizer/lançar/bater
regozijar	animar-se/alegrar-se/exultar/alegrar/animar
regozijar-se	animar-se/alegrar-se/exultar/alegrar/animar
regressar	revisitar/retraçar/ressuscitar/retornar
regulamentar	estandardizar/padronizar
regular	afinar
regularizar	estandardizar/padronizar
reificar	hipotetizar
reinar	preponderar/prevalecer/ditar/reino
reincidir	iterar
reinstalar	reabilitar
reintegrar	reembolsar
reinvindicar	alegar/proclamar/afirmar/declarar
reiterar	traduzir/citar/extratar/parafrasear/remoer/sumarizar/sintetizar/resumir
reivindicar	requesionar/arrogar/demandar/exigir/pretender
rejeitar	objectar/desconsiderar/descartar/esnobar/ignorar/menosprezar/desanimar/desencorajar/desacatar/descrer/desobedecer/desprezar/depreciar/desacreditar/esnobar/repelir/repudiar/desaprovar/renunciar/lamentar/recusar
relacionar	correlacionar/correlatar/inter-relatar/tutelar/vincular/centrar/desrespeitar/inter-relacionar/relacionar-se/harmonizar/interessar/valer/comprometer/mencionar/obrigar/afetar/compatibilizar/identificar/referir/aplicar/lembrar/prender
relacionar-se	vincular/desrespeitar/harmonizar/obrigar/compatibilizar/prender
relançar	reclassificar
relaxar	vegetar
relegar	reduzir
relembrar	recordar/rever
relutar	resistir
remanecer	permanecer/ficar
remanejar	comutar/permutar/secundar/trocar
remarcar	comentar/mencionar/indicar
rememorar	monumentalizar
remeter	expedir/postar/enviar
remodelar	refazer
remover	amputar/desempregar/destituir/demitir/deletar/despedir/resgatar/cavar/escavar/extrair/retirar/apagar/aliviar/sacar/tirar/circuncidar/de-ionidizar/depilar/descarbonizar/desempacotar/desentranhar/desmarcar/desmineralizar/desnudar-se/desossar/despir-se/destampar/destripar/desventrar/desviscerar/dragar/enxotar/escalpar/escalpelar/esventrar/descalcificar/descaroçar/desgastar/desintoxicar/desmantelar/desprender/erodir/estripar/tossir/arrancar/deletar/desalojar/desmontar/desnudar/despir/eviscerar/extirpar/pigarrear/descascar/condensar/escovar/esvaziar/purificar/eliminar/excluir/expulsar/extrair/puxar/retirar/lavar/apagar/derrubar/sacar/limpar/tirar
remunerar	ressarcir/reembolsar
render-se	desistir/capitular/abnegar/vender/desistir
renovar	substituir/avivar/gentrificar/revisar/restituir/revitalizar/restabelecer/restaurar/refrescar/regenerar
renunciar	aposentar-se/abdicar/abjurar/apostatar/exonerar-se/recantar/retratar-se/demitir-se/devolver/rebater/refutar/resignar/negar/cair
reordenar	contramarchar/recodificar/inverter/reorganizar/reverter
reorganizar	rever
reorientar	enviesar/alinhar
repagar	reembolsar/pagar
reparar	cerzir/rechear/remendar/consertar/comentar/mencionar/renovar/indicar
repartir	acantonar/balcanizar/parcelar/sectionalizar/formatar/lascar/lotear/subdividir/inicializar/rachar
repelir	enjoar/indignar/nausear/repugnar/repulsar/enojar/revoltar
repetir	traduzir/citar/extratar/iterar/matraquear/papagaiar/papaguear/parafrasear/reduplicar/remoer/sumarizar/recapitular/sintetizar/reproduzir/resumir/modular/recitar/replicar/copiar
replicar	reduplicar/retorquir/retortar/ripostar/retrucar/rebater/recapitular/copiar/retornar
repousar	ajoelhar-se/levantar/capotar/sonecar/dormir/dormitar/cochilar
repreender	castigar
representar	desvirar/distorcer/desenhar/enrolar/animalizar/perfilar/tipificar/argumentar/coadjuvar/constituir/convencionar/efetivar/encarnar/instanciar/parodiar/reencenar/desmentir/enquadrar/estilizar/incorporar/retratar/sensualizar/dramatizar/ilustrar/pintar/arguir/emocionar/personificar/modelar/suplementar/atuar/compor/fingir/estabelecer/capturar/propor/apresentar/indicar/fazer
reprimendar	castigar
reprimir	debelar/abafar/inibir/recalcar/silenciar/castigar/amortecer/engolir/suprimir
reprocessar	repaginar/requentar/reusar/reutilizar
reproduzir	fotocopiar/xerocar/replicar/simular/copiar/imitar/repetir/hibridizar/reimprimir/duplicar/eclodir/quadruplicar/triplicar/cruzar/frutificar/imprimir/propagar
reprovar	castigar
repudiar	abjurar/apostatar/recantar/retratar-se/devolver/rebater/refutar/negar/renunciar
repugnar	escandalizar/ultrajar/horrorizar/chocar/ofender/enjoar/nausear/enojar
repulsar	escandalizar/ultrajar/horrorizar/chocar/ofender/indignar/nausear/repugnar/enojar/revoltar
requebrar	braquiar/fremir/vibrar
requerer	mendigar/reservar/demandar/exigir/convidar/pedir/segurar/candidatar/encomendar/impetrar/peticionar/invocar/clamar/custar/intimar/mandar/reivindicar/solicitar/rogar/demandar/suplicar/exigir/chamar/convidar/reclamar/aplicar/propor/ordenar/organizar/pedir/desejar
requisitar	mendigar/reservar/demandar/exigir/convidar/pedir/segurar/candidatar/encomendar/impetrar/peticionar/invocar/custar/intimar/mandar/reivindicar/solicitar/rogar/demandar/suplicar/exigir/chamar/convidar/requerer/reclamar/aplicar/propor/ordenar/organizar/pedir/desejar
rescindir	descumprir
reservar	guardar/olhar
resfriar	refrigerar/gelar
resgatar	socorrer/salvar/ajudar
resignar	aposentar-se/abdicar/exonerar-se/demitir-se/renunciar/cair
resistir	salvar/afrontar/arrostar/obstinar-se/posturar/recalcitrar/relutar/abster-se/reinvindicar/abster/asseverar/posar/desafiar/repelir/aguentar/permanecer/confundir/evitar
resolver	seleccionar/adjudicar/selecionar/decidir/julgar/escolher/propor-se/fatorar/mensurar/regulamentar/regularizar/decretar/reajustar/conseguir/inferir/medir/orientar/selar/adivinhar/supor/responder/ajustar/decidir/julgar/atingir/quebrar
respeitar	tolerar/admirar/estimar/reverenciar/venerar/celebrar/temer
respirar	bocejar/soluçar/suspirar/ressonar/hiperventilar/roncar/expirar/inalar/inspirar/exalar
resplandecer	coriscar/faiscar/tremeluzir/lucilar/luzir/titilar/arder/cintilar/brilhar/queimar
responder	recusar/explodir/rejeitar/admirar-se/retorquir/retortar/ripostar/atender/maravilhar/maravilhar-se/retrucar/notar/rebater/exagerar/admirar/consentir/replicar/retornar/tratar/aprovar/recusar/concordar/rejeitar/reconhecer/receber/aceitar
responsabilizar	culpabilizar/autorizar/culpar/caluniar/conspurcar/criminar/inculpar/difamar/indiciar/denegrir/incriminar/delegar/arguir/acusar/nomear/substituir/propor/criar
ressaltar	demonstrar/registrar
ressoar	ticar/estalar/clicar/soar/tocar/batucar/borburar/chapinar/consoar/estridular/estrondar/farfalhar/retinir/tilintar/tinir/tique-taque/zinir/assoviar/buzinar/chocalhar/crepitar/dissonar/guinchar/ratear/ronronar/rugir/sibilar/sussurrar/apitar/assobiar/borbulhar/ecoar/uivar/zunir/reverberar/zumbir/furar/soar/falar/tocar/bater
ressuscitar	inicializar/iniciar
restabelecer	desfibrilar/reinstalar/reabilitar/redimir
restar	permanecer/ficar
restaurar	gentrificar/redimir
restituir	reembolsar/reviver
restorar	redimir
restringir	constrangir/classificar/conter/contentar/demarcar/cercear/delimitar/domar/estorvar/inibir/tolher/obstruir/impedir/imobilizar/reprimir/suprimir/limitar/localizar/marcar/regular/satisfazer/controlar/prender/ligar/reduzir
resultar	redundar/sobrevir/advir/derivar/suceder/vir/seguir
resumir	expurgar/abstrair/recapitular/condensar/abreviar
resvalar	derrapar/patinar
retalhar	acossar/manietar/chatear/amolar/enfurecer/incomodar
retardar	entupir/atrasar
reter	denegar/armazenar/privar/adiar/proibir/acumular/negar/recusar/guardar/rejeitar/agrilhoar/distanciar-se/ocluir/acorrentar/algemar/interferir/armazenar/barrar/distanciar/inibir/pressurizar/tapar/afastar/deter/entupir/obstruir/trancar/deduzir/imobilizar/poupar/preservar/bloquear/conservar/amarrar/atar/congelar/guardar/continuar/segurar/manter
retificar	debug/rectificar/moralizar
retirar	amputar/resgatar/cavar/escavar/extrair/sacar/tirar/circuncidar/de-ionidizar/depilar/descarbonizar/desempacotar/desentranhar/desmatar/desmineralizar/desnudar-se/desossar/despir-se/destampar/destripar/desventrar/desviscerar/dragar/escalpar/escalpelar/esventrar/descalcificar/descaroçar/desgastar/desintoxicar/desmantelar/desprender/erodir/estripar/tossir/arrancar/deletar/desalojar/desnudar/despir/eviscerar/extirpar/pigarrear/descascar/condensar/escovar/esvaziar/eliminar/excluir/extrair/puxar/lavar/apagar/remover/sacar/limpar/tirar
retomar	reconquistar
retornar	revisitar/retraçar/recorrer/regressar/ressuscitar/voltar
retraçar	etimologizar
retribuir	reembolsar
retroceder	retrair/retrogradar
retrogredir	receder
retrucar	retorquir/retortar/ripostar/rebater/replicar/retornar
reunir	arrecadar/catar/colher/apanhar/apinhar/casar-se/confederar/configurar/enfardar/interligar/respigar/reunificar/reunir-se/acoplar/angariar/arquivar/coligar/esposar/federar/interconectar/reagrupar/aglomerar/casar/colecionar/confeccionar/federalizar/incorrer/recombinar/sintetizar/totalizar/celebrar/convergir/emparelhar/mobilizar/anexar/associar-se/colher/recolher/convocar/coletar/visitar/guardar/confundir/juntar/unir/encontrar/misturar/ligar/pegar
reusar	repaginar/requentar/reutilizar
reutilizar	repaginar/requentar/reusar
revalidar	validar/demonstrar/documentar/referendar/validar/verificar/confirmar/suportar
