elapidae	aspidelaps/naja
elasmobranchii	carcharhinidae/hexanchidae/lamnidae/orectolobidae/rajiformes/rhincodontidae/scyliorhinidae/squalidae/squatinidae/triakidae
eleitorado	constituintes/eleitor/eleitores/votante/votantes/voto
elettaria	cardamomo
emberizidae	emberiza/passerina
emberizini	emberiza/passerina
empresa	departamento/divisão
enterobacteriaceae	serratia
enxame	insectos/insetos/hemípteros/insecto/inseto
epilobium	epilóbio/epílobo
equador	equatoriano
equidae	equino/equus/equídeo/hyracotherium/égua/ungulados
equinoderme	crinoidea/echinoidea/equinodermo/equinodermos/ophiuroidea/pepino-do-mar
equinodermes	crinoidea/echinoidea/equinodermo/equinodermos/ophiuroidea/pepino-do-mar
equipagem	copiloto/tripulante
equipe	copiloto/tripulante
equisetaceae	cavalinha
equus	égua/cavalo/babucha/bardoto/bardoto/jerico/mu/mulo/pantufo/zebra/jegue/jumento/jumento/mula/mula/asno/asno/burro
equídeos	equino/equus/equídeo/hyracotherium/égua/ungulados
ericaceae	arctostaphylos/calluna/cassiope/chamaedaphne/daboecia/epigaea/gaultheria/gaylussacia/ledum/lyonia/menziesia/oxydendrum/phyllodoce/tojal/urze/vaccinium/charneca
ericales	clethraceae/diapensiaceae/monotropaceae/pyrolaceae
erinaceomorpha	erinaceus
erinaceus	ouriço/ouriço-terrestre/porco-espinho
eriobotrya	nespereira/nêspera/ameixa
eriocaulaceae	eriocaulon
erodium	gerânio
eryngium	cardo-corredor
erythroxylum	coca
escandinávia	dinamarca/noruega/suecia/suécia/escandinavo
escocia	escocês
escola	ies/faculdade/universidade/instituto/mestre/professor
escorpião	antares
escócia	escocês
eslavos	eslavo
eslovaquia	eslovaco
eslovenia	eslovena/esloveno/esloveno
eslováquia	eslovaco
eslovénia	eslovena/esloveno/esloveno
eslovênia	eslovena/esloveno/esloveno
espanha	espanhola/basco/espanhol
espermatófita	angiosperma/magnoliophyta
espécie	cepa/cepa/estirpe/estirpe/variante/variante/estirpe/estirpe/raça/raça
espécies	cepa/estirpe/variante/estirpe/raça/ordem
etiopia	etíope
etiópia	etíope
etrúria	etrusco
eua	estado-unidense/norte-americano
eugenia	amarena/pitanga/ginja
euphorbia	coroa-de-cristo/eufórbio
euphorbiaceae	acalypha/aleurites/cnidoscolus/codiaeum/euphorbia/hevea/jatropha/manihot/pedilanthus/seringueira
exército	caixilho/militar/corpo/corpo/corpo/corpo
fabaceae	arachis/caesalpinioideae/centrolobium/dipteryx/hymenaea/mimosoideae/swainsona/trifolium/feijão
faculdade	ies/universidade/instituto/escola
fagaceae	carvalho/castanopsis/chrysolepis/faia/lithocarpus/nothofagus/quercus/faia
fagales	betulaceae/fagaceae/fagáceas
fagáceas	carvalho/castanopsis/chrysolepis/faia/lithocarpus/nothofagus/quercus/faia
faia	faia-europeia/faia-europeia
falcao	falcão-americano/gerifalte/peneireiro-vulgar/tarrafa/falcão/falcão
falco	falcão-americano/gerifalte/peneireiro-vulgar/tarrafa/falcão/falcão
falconidae	falcao/falco/falcão/falcão
falconiformes	accipitridae/cathartidae/falconidae/falconídeos
falconídeos	falcao/falco/falcão/falcão
falcão	falcão-americano/gerifalte/peneireiro-vulgar/tarrafa
familia	parente
família	genitor/parente/progenitor/pai/criança/filho/mãe/menino/arenavirus/arenavírus/bunyaviridae/flaviviridae/gênero/rhabdovirus/rhabdovírus/flavivírus/tribo/gênero/irmã/irmão/género
