abandonar	perder
conhecer	realizar/compreender/entender
conjecturar	afigurar/envisionar/figurar/visualizar/ver
conjeturar	afigurar/envisionar/figurar/visualizar/ver
conseguir	efectuar/efetuar/alcançar/obter/realizar/atingir
consentir	aturar/tolerar/aguentar/permitir/suportar/admitir/aceitar/deixar/confiar/autorizar/permitir
consertar	remendar
conservar	distanciar-se/enlatar/distanciar/afastar/registar/registrar
considerar	prezar/respeitar/venerar/equiparar/valorizar/incluir/gostar/planejar/apreciar/julgar/admitir/manter
consignar	empenhar
constrangir	disconcertar/confundir
construir	cozinhar/moldar/reproduzir/forjar/modelar/formar/preparar/criar/publicar/editar/imprimir
consumir	deglutir/ingurgitar/papar/fumar/beber/engolir/comer/experimentar/provar/tomar/beber/comer/tomar/usar
contabilizar	cobrar
contar	descerrar/retrucar/divulgar/cobrar/replicar/responder/revelar/prefaciar/redizer/denotar/pressagiar/reapresentar/reiterar/evidenciar/preceder/sugerir/sinalizar/prever/repetir/introduzir/anunciar/apresentar/indicar/transmitir/declarar/representar/dar
contemplar	ponderar/questionar/perguntar
conter	abranger/privar/incluir/compreender/ter/refrear/delimitar/limitar/marcar/controlar
continuar	persistir/perseverar/esparramar/espalhar
controlar	limitar/restringir/conter/avionar/pilotar/voar/limitar/restringir/treinar
conversar	cochichar/balbuciar/sussurrar/resmungar/discutir/murmurar/berrar/cantar/gritar/boquejar/papear/prosear/balbuciar/gaguejar/ladrar/bradar/fofocar/proclamar/vociferar/discutir/confabular/murmurar/tagarelar/reclamar/falar
convidar	desafiar
copular	foder/pinar/meter/transar/trepar/montar/comer
correr	esfregar/arremeter/fluir/acelerar
corresponder	assemelhar-se/assemelhar/parecer/convir/adaptar-se/adequar-se/harmonizar/compatibilizar/concordar/satisfazer
corroborar	validar/demonstrar
cortar	rascar/coçar/raspar/brocar/serrar/lascar/abater/sulcar/perfurar/cavar/furar/derrubar
cozinhar	preservar/conservar/frigir/fritar
crescer	florescer/expandir/subir/aumentar/conglomerar/proliferar/acrescer/aglomerar/amontoar/aprofundar/progredir/somar/intensificar/expandir/acumular/acrescentar/adicionar/desenvolver/subir/aumentar
criar	pincelar/pintar/recriar/reproduzir/copiar/hibridizar/edificar/concretizar/confeccionar/imaginar/publicar/editar/fabricar/procriar/recriar/reproduzir/substanciar/cruzar/imprimir/verbalizar/gerar/causar/produzir/preparar/construir/realizar/provocar/dar/fazer
cuidar	paparicar/superproteger/administrar/gerenciar/gerir/lidar/tratar/organizar/dirigir/conduzir
cuidar-se	maquilar/maquiar/lavar/limpar
cultivar	produzir/fazer
cumprimentar	despidir/saudar
cumprir	bastar/desempenhar/realizar/servir/cobrir
curvar	acovardar/acovardar-se/debruçar/inclinar
custear	liquidar
danificar	deteriorar/estragar/avariar/falir/queimar
dar	legar/emprestar/prestar/doar/prover/abastecer/dispensar/fornecer/suprir/pagar/deixar/entregar/passar/comissionar/desobrigar/incumbir/provisionar/adjudicar/confidenciar/lembrar-se/render-se/submeter-se/confiar/depositar/possibilitar/sucumbir/contribuir/financiar/livrar/providenciar/alienar/ceder/proporcionar/prover/transferir/abastecer/lidar/fornecer/renunciar/outorgar/permitir/conceder/lembrar/desistir/transmitir/liberar/oferecer/servir/abandonar/deixar/entregar/passar/manter
debruçar	declivar/inclinar
decair	degenerar/degradar/deteriorar/piorar/adoecer/adoentar/piorar
decidir	seleccionar/selecionar/escolher/mensurar/regulamentar/regularizar/decretar/medir
declarar	depor/aconselhar/sugerir/propor/jurar/asseverar/pronunciar/prometer/rotular/afirmar/julgar
decorar	colorir/pendurar/adornar
decrescer	amainar/contrair-se/murchar/abater/amenizar/encolher/enrugar/declinar/contrair/enfraquecer/diminuir
defender	proteger/resistir
deformar	vergar/desdobrar/curvar/esticar/dobrar/torcer/estender
