firmar	acordar/concordar
fitar	mirar/observar/olhar/ver
fixar	anexar/juntar/unir
flabelar	sacudir/tremer/agitar
flexionar	deslocar/mover/mexer/deformar
florescer	crescer/aumentar
fluir	deslocar/mover/mexer
focar	raciocinar/cogitar/refletir/pensar
foragir	evadir-se/fugir/escapar
forjar	confeccionar/fabricar/construir
formar	modificar/alterar/mudar/confeccionar/fabricar/causar/construir/criar/receber/provocar/fazer
formar-se	receber
formular	exprimir/expressar/mostrar
fornecer	entregar/dar
forçar	compelir/deslocar/mover/obrigar
fotocopiar	reproduzir
fracassar	mudar
fraccionar	mudar
fracionar	mudar
fugir	evadir-se/sair/escapar/partir/ir
fulminar	olhar
fumar	ingerir/consumir/tomar
funcionar	operar
fundir	mudar
furar	perfurar
furtar	agarrar/capturar/segurar/pegar/roubar
galgar	ascender/subir
ganhar	comprar/comprar/obter/obter/adquirir/adquirir/receber/receber
gastar	pagar
gatinhar	viajar/caminhar/ir/andar
gemer	emitir/soltar
gemir	emitir/soltar
gerar	produzir/construir/criar/fazer/causar/criar/provocar/fazer
gerenciar	virar-se/aguentar/lidar/sobreviver
gerir	governar/reger
germinar	crescer
gingar	oscilar
girar	virar-se/deslocar/mover/tornar-se/mexer/virar/rodar
golpear	tocar/bater
gostar	agradar/satisfazer
gotejar	entornar/verter/derramar
governar	reger
graduar	receber
grampear	ouvir/escutar
gravar	registar/registrar
grifar	marcar
gritar	emitir/berrar/soltar/proferir/verbalizar/conversar/falar/dizer
grudar	juntar
guardar	proteger/proteger/defender/defender/reter/segurar/ter/manter
herdar	comprar/obter/adquirir/receber
hierarquizar	balizar/avaliar/julgar
hipnotizar	sedar/tranquilizar
hipotetizar	antecipar
horripilar	atemorizar/amedrontar/assustar/aterrorizar/intimidar
horrorizar	indignar/nausear/repugnar/repulsar/revoltar
hospedar	divertir/entreter
identificar	denotar/significar
ignorar	rejeitar
igualar	confromar-se/adaptar-se/adequar-se/ajustar
iluminar	iluminar-se
ilustrar	elocubrar/elaborar/expandir/expor
imitar	reproduzir
impactar	modificar/alterar/mudar
impelir	assessorar/aconselhar/opinar/avisar
implorar	rogar/suplicar
