abalroar	assentar
fixar	enganchar/trancar/pendurar/abotoar/acolchetar/afivelar/agrafar/ancorar/barricar-se/engastar/entrincheirar-se/zipar/cingir/entrincheirar/escorar/estacar/rebitar/encadear/grampear/implantar/alfinetar/atracar/conectar/cravar/trancar/pendurar/amarrar/atar/forçar/ligar/colocar
florescer	deleitar/reacender/reviver
florir	florescer
fluir	entornar/verter/derramar/borbotar/esguichar/segregar/escoar/manar/redemoinhar/jorrar/minar/regurgitar/circular/girar/correr
focar	absorver/beber/escutar/pensar
foder	fornicar
fofocar	conversar
foragir	safar/escorregar/fugir/escapar/evitar
forjar	plasmar/amoldar/foliar/esculpir/martelar/moldar/remodelar/fundir/modelar/reformar/transformar/cortar
formar	atar/plasmar/achatar/amoldar/individualizar/retorcer/aplainar/arredondar/esculpir/cristalizar/distorcer/moldar/remodelar/deformar/enxugar/forjar/fundir/modelar/acomodar/reformar/circular/torcer/transformar/enrolar/cortar
fornecer	apetrechar/aparelhar/equipar/suprir/alimentar/servir/carregar/dar/abrigar/acortinar/alfabetizar/amparar/encortinar/envidraçar/estocar/legendar/mobiliar/reflectorizar/sanitarizar/transistorizar/calhar/computadorizar/estofar/indulgir/informatizar/nutrir/ofertar/redecorar/armar/armazenar/condicionar/constitucionalizar/equipar/hidratar/regalar/aguar/articular/capitalizar/datar/despejar/encharcar/forrar/hospedar/molhar/assentar/associar-se/esquentar/prover/regar/abastecer/aquecer/canalizar/derramar/renovar/acomodar/arranjar/sinalizar/suprir/arrumar/ajudar/satisfazer/alimentar/estender/oferecer/encontrar/servir/dar
fortalecer	estabilizar/reforçar/revitalizar/vitalizar/substanciar/confirmar
fortificar	estabilizar/reforçar/revitalizar/vitalizar/substanciar/confirmar
forçar	coagir/compelir/obrigar/empurrar/derrubar/enforçar/protrudir/cacetear/cutucar/enfiar/implementar/impor/propulsionar/envergonhar/acotovelar/aterrorizar/obrigar/repelir/impulsionar/aplicar/empurrar/guiar/sacudir/dirigir/conduzir
fraccionar	acantonar/balcanizar/parcelar/sectionalizar/formatar/lascar/lotear/subdividir/inicializar/rachar
fracionar	acantonar/balcanizar/parcelar/sectionalizar/formatar/lascar/lotear/subdividir/inicializar/rachar
fragmentar	triturar/moer/retalhar/atomizar/ranger/pulverizar
frigir	sauter/fritar/refogar
fritar	sauter/refogar
fugir	foragir/desertar/escapulir/escapar/abandonar/desembaraçar-se/safar/embrenhar/esconder-se/evadir-se/evadir/sumir/debandar/escorregar/desaparecer/escapar/evitar
fumar	pufar/tragar/inalar
funcionar	talhar/desdobrar/servir
fundar	nomear
fundir	remoldar/aliar/sincretizar/clarificar/refazer/acrescentar/misturar
furar	morder/perfurar/picar/atravessar/puncionar/formigar/alfinetar/puncturar/picar
galgar	escalar/subir
ganhar	rentabilizar/lucrar/render/lucrar/capitalizar
gargalhar	casquinar/cacarejar/zurrar/convulsionar/gracejar
gastar	delapidar/luxuriar/dilapidar/esbanjar/desperdiçar/amealhar/malbaratar/abusar/drenar/desvirtuar/economizar/esbanjar/malhar/torrar/desperdiçar/exaurir/dispor/esgotar/poupar/consumir/investir/poder/ocupar/queimar/levar
gatinhar	formigar
gelar	congelar
gerar	eclodir/frutificar/propagar
gerenciar	chefiar/supervisar/supervisionar/conduzir
gerir	chefiar/supervisar/supervisionar/conduzir/reinar/ditar/reino
gesticular	ovacionar/acenar/aclamar/aplaudir/anuir/benzer/curvar-se/inclinar-se/acenar/aplaudir/esticar/sacudir/estender
girar	atarraxar/piruetar/aparafusar/redemoinhar/rodar/enrolar
glorificar	canonizar/rachar
golpear	esmurrar/estapear/chibatar/açoitar/chicotear/chutar/bater/bicar/cacetear/arrombar/surrar/socar/acertar/cortar/bater
governar	gerir/reinar/reger/açambarcar/esterçar/presidir/atrelar/internacionalizar/monopolizar/manobrar/reinar/arregimentar/ditar/preocupar/canalizar/enfeitiçar/lidar/reger/cuidar/reino/direcionar/dominar/encantar/ocupar/guiar/controlar/dirigir
gritar	bradar/berrar/mugir/roncar/vociferar
grudar	aderir/colar/aferrolhar/aglutinar/fixar/ligar
guardar	armazenar/acumular/negar/custodiar/invigilar/vigiar/armazenar/economizar/deter/deduzir/poupar/preservar/conservar/registar/reter/registrar/segurar/manter
guiar	estacionar/acuar/encurralar/transviar/administrar/pilotar/coordenar/gerenciar/gerir/navegar/processar/emboscar/canalizar/lidar/auxiliar/cuidar/sinalizar/tratar/ajudar/organizar/controlar/dirigir/usar/conduzir
habitar	alojar/morar/acampar/coabitar/conviver/domiciliar/sobrepovoar/superpovoar/aninhar/nidificar/ninhar/residir/superlotar/bordejar/morar/viver/ocupar
habituar	fisgar/acostumar/costumar/ensinar/viciar/instruir
habituar-se	fisgar/acostumar/costumar/ensinar/viciar/instruir
harmonizar	combinar
hierarquizar	priorizar/super-ordenar/reordenar/sequenciar/subordinar/distribuir/arranjar/rebaixar
hipotetizar	retraçar/reconstruir/formular
humilhar	esmagar/degradar/aviltar/desvalorizar/rebaixar
identificar	distinguir/diferenciar/separar
ignorar	debochar/desabonar/desprestigiar/desacreditar/esnobar
igualar	empatar/corresponder/combinar/concordar/representar/equacionar/homogenizar
iludir	atraiçoar/emboscar/trair/burlar/ludibriar/mistificar/tapear/trapacear/enganar/trair
iluminar	brilhar/irradiar
iluminar-se	iluminar/brilhar/irradiar
imaginar	conjeturar/conjecturar/esboçar/desenhar/projectar/projetar/planejar/pensar/afigurar/conceitualizar/devanear/envisionar/visionar/fantasiar/planear/antever/esquematizar/figurar/arquitetar/conceber/elaborar/programar/recriar/sonhar/visualizar/inventar/forjar/projectar/projetar/formular/determinar/estimar/planejar/prever/construir/desenvolver/pensar/desejar/chegar/ver
imitar	macaquear/emular/escarnecer/zombar/copiar
impactar	desconfortar/hidrolizar/influir/repercutir/sujeitar/influenciar/arriscar/comprometer/afetar/colorir/estimular/atacar/incomodar/atingir
impedir	ocluir/entravar/interferir/barrar/estorvar/inibir/tapar/tolher/entupir/obstruir/trancar/atrapalhar/excluir/defender/reter/evitar/segurar
impelir	impacientar/instar/predicar/advocar/advogar/urgir/arguir/pressionar/apressar/pregar
impetrar	comandar/convocar/exigir/chamar/ordenar/instruir/dirigir
importunar	enfadar/tormentar/retalhar/atormentar/crucificar/incomodar
impressionar	comover/disturbar/emocionar/perturbar/emudecer/sobressaltar/alhear/varar/apaixonar/assombrar/entristecer/infectar/turvar/deprimir/desagradar/alienar/conquistar/surpreender/gravar/penetrar/atacar/incomodar/tocar
imprimir	reeditar
impulsionar	atirar/jogar/lançar/catapultar/chutar/pregar/prender/carregar/lançar/bater
imputar	antropomorfizar/interiorizar/internalizar/reatribuir/externalizar/agradecer/sensualizar/culpar/responsabilizar/atribuir/personificar/projectar/projetar
incapacitar	deter/confinar/reter/prender/manter
inchar	afofar/empolar/intumescer/distender
inclinar	cair/declivar/reclinar/subir
incluir	abranger/compreender/conter/ter/circundar/englobar/subsumir/abarcar/acarretar/coligar/involver/subordinar/classificar/pertencer/reter/contar/compreender/conter
incomodar	enfadar/tormentar/retalhar/atormentar/crucificar/importunar
incumbir	consignar/encarregar/obrigar
indagar	bisbilhotar/xeretar/fofocar/consultar
indicar	agourar/cadastrar/prefigurar/augurar/prenunciar/pressagiar/profetizar/simbolizar/vaticinar/assinalar/prognosticar/reverberar/ler/predizer/sugerir/sinalizar/prever/significar/apontar/refletir/mostrar/registrar/dizer/representar
indispor	cansar-se/constipar/exaurir-se/aleijar/ferir/doer/exaurir/machucar
induzir	persuadir/encorajar/compelir/impelir/instigar/obrigar/incitar/decidir/forçar/levar/deixar/fazer
inferir	saber/compreender/dizer
inflar	afofar/empolar/intumescer/distender/inchar
influenciar	dominar/chantagear/convencer/matizar/prejulgar/persuadir/imprimir/pressionar/colorir/militar/formar
influir	dominar/chantagear/convencer/matizar/prejulgar/persuadir/imprimir/pressionar/colorir/militar/formar
informar	desinformar/divagar/leccionar/lecionar/testificar/alertar/atualizar/descerrar/ensinar/atestar/divulgar/evidenciar/narrar/recontar/esclarecer/testemunhar/minimizar/avisar/enganar/soprar/advertir/instruir/apontar/introduzir/explicar/provar/revelar/lembrar/apresentar/contar/indicar/mostrar/desabusar/familiarizar/redizer/dedurar/denotar/descrever/pressagiar/reapresentar/reiterar/voluntariar/comunicar/evidenciar/narrar/propagandear/assinalar/relatar/denunciar/noticiar/notificar/avisar/sugerir/trair/advertir/sinalizar/prever/repetir/apontar/lamentar/explicar/anunciar/contar/indicar/mostrar/transmitir/dar
ingerir	deglutir/ingurgitar/papar/fumar/beber/engolir/comer/experimentar/provar/tomar/fartar/locupletar/canibalizar/drogar/saciar/sorver/beber/enxugar/consumir/comer/satisfazer/tomar/encher/usar/tocar
ingressar	afiliar/afiliar-se/refiliar/reingressar/infiltrar/inscrever/associar-se/unificar/penetrar/organizar/reunir
ingurgitar	devorar
iniciar	endereçar/lidar/tratar/falar/cobrir/inovar/acometer/activar/constituir/deslanchar/empreender/fundar/abraçar/desencadear/inaugurar/confabular/recomeçar/mergulhar/arranjar/embarcar/estabelecer/abrir/organizar/realizar/atacar/lançar/começar
injustiçar	victimizar/vitimar
inocentar	purgar/vindicar/acobertar
inrijecer	rigidificar/enrijecer
inscrever	registar/registrar/matricular/sindicalizar/ingressar/alistar
inseminar	polinar/polinizar/emprenhar/engravidar/estratificar
inserir	embutir/encaixar/transplantar/implantar/penetrar/colocar
insistir	reinvindicar/asseverar/sustentar/manter
inspeccionar	vistoriar/perambular
inspecionar	revistar/procurar/auscultar/autopsiar/comprovar/escrutinar/inspeccionar/revistar/vistoriar/perambular/buscar/examinar/procurar
inspirar	alentar/encorajar
instalar	reinstalar
institucionalizar	hospitalizar/internar
instruir	reforçar/educar/preparar/treinar/palestrar/desfraldar/edificar/indoutrinar/retreinar/desaprender/catequizar/clarificar/esclarecer/educar/comandar/introduzir/treinar/iniciar/falar
intensificar	acerar/agilizar/chamejar/coruscar/flamejar/aprofundar/redobrar/acelerar/afiar/apressar
inter-relacionar	tutelar
interagir	tratar/encontrar/reunir/afeminar/tramitar/transaccionar/transacionar/interferir/marginalizar/relacionar-se/comunicar/condescender/conspirar/intervir/associar/interpor/relacionar/socializar/manipular/convidar/combinar/transmitir/controlar
interessar	fascinar/absorver/engajar/encantar/ocupar
internar	hospitalizar
interromper	pausar/parar/intrometer/fracturar/intrometer-se/interpor/fraturar/suspender/congelar/parar
intimar	comandar/convocar/exigir/chamar/ordenar/instruir/dirigir
intimidar	terrificar/horripilar/aterrorizar/consternar/horrorizar/amedrontar/assustar/impressionar
intoxicar	enebriar/exultar/exaltar/inchar/excitar
introduzir	embutir/reintroduzir/encaixar/transplantar/implantar/penetrar/apresentar/colocar
inundar	encharcar/afundar
inventar	manufaturar/fabricar/idealizar/mitologizar/mitificar/confabular
inverter	desincronizar/metamorfosear/transpor/transfigurar/adulterar/alternar/desfazer/falsificar/reverter/retificar/corrigir/trocar/mudar
investigar	espiar
investir	especular/re-investir
involver	embolar/aprisionar/arrastar
ir	engatinhar/gatinhar/rastejar/rastejar-se/retroceder/serpear/vadiar/vagabundear/vaguear/boiar/pisar/retirar-se/devolver/pisotear/regressar/ascender/escorregar/nadar/recuar/errar/marchar/passear/perambular/vagar/deslizar/voar/apressar/retornar/acompanhar/atravessar/pular/saltar/caminhar/dirigir/correr/seguir/andar/subir/passar/cair/apressar-se/baldear/bicicletar/capengar/coxear/deambular/descarrilar/despachar-se/entender-se/esgueirar/esquiar/ganir/irradiar-se/joeirar/mancar/percorrer/sobrevoar/sonambular/tropicar/vadear/cavalgar/descarrilhar/desfilar/flanquear/pedalar/ziguezaguear/peneirar/pisotear/retrogradar/rondar/serpentear/sulcar/ascender/flutuar/nadar/navegar/progredir/radiar/recuar/avançar/cruzar/embaralhar/errar/marchar/passear/perambular/perseguir/preceder/propagar/tropeçar/vagar/acelerar/rodar/viagem/voar/apressar/descer/irradiar/montar/prosseguir/amassar/baixar/brincar/circular/empurrar/viajar/atravessar/espalhar/vir/caminhar/dirigir/chegar/continuar/trocar/seguir/virar/andar/subir/passar/pegar/cair
irar	injuriar/ofender/insultar/irritar/abespinhar/agravar/combustir/encolerizar/exacerbar/exasperar/enraivecer/importunar/enfurecer/irritar/incomodar
ironizar	escarnear/tantalizar/sacanear/mangar/pagodear/zoar/escarnecer/rir/ridicularizar/sacanear/zombar
irradiar	alumiar/piscar/cintilar/brilhar
irritar	coçar/esfregar/enfadar/tormentar/retalhar/atormentar/crucificar/importunar/incomodar
jazer	anteceder/ladear/encabeçar/flanquear/mediar/subjazer/arbitrar/enfileirar/intervir/focalizar/preceder/localizar/dominar/dar
jogar	arremessar/arremeter/apostar/atirar/lançar/defenestrar/escamotear/prestidigitar/alijar/prostrar/volear/completar/apanhar/apostar/capturar/anunciar/pular/sacudir/atirar/declarar/lançar/passar
julgar	hierarquizar/inocentar/ranquiar/antecipar/absolver/medir/condenar/confessar/classificar/estimar/avaliar/pensar/reconhecer/admitir/escolher/achar/beatificar/imputar/abastardar/canonizar/desqualificar/ensaiar/formalizar/oficializar/prejulgar/quantizar/entoar/pronunciar/propagandear/truncar/associar/criticar/prognosticar/revogar/rotular/atribuir/designar/menosprezar/subestimar/testar/predizer/qualificar/anular/cancelar/certificar/chutar/desaprovar/tentar/estimar/prever/aprovar/avaliar/decidir/rejeitar/contar/declarar/aceitar/considerar/achar/passar
juntar	catar/aderir/fixar/colher/apanhar/grudar/amarrar/atar/colar/prender/acasalar/aferrolhar/anastomosar/anilhar/apor/arrear/cangar/encilhar/enxertar/jungir/recasar/respigar/soldar/acoplar/aglutinar/atrelar/copular/etiquetar/reagrupar/sovietizar/ajuntar/alinhavar/casar/conectar/cravar/emparelhar/fixar/inserir/mobilizar/rotular/afixar/anexar/colher/selar/convocar/suplementar/grudar/montar/amarrar/colar/compor/pregar/introduzir/prender/unir/reunir/pegar
juntar-se	afiliar/afiliar-se/refiliar/reingressar/infiltrar/inscrever/associar-se/unificar/penetrar/organizar/reunir
jurar	protestar/reivindicar/confirmar/afirmar/declarar/manter
lançar	arremessar/arremeter/atirar/defenestrar/escamotear/prestidigitar/rotear/alijar/difundir/esparramar/prostrar/redirecionar/projetar/referir/pular/sacudir/espalhar/atirar/enviar/jogar/passar
largar	demitir-se/quitar/resignar/renunciar/abandonar
lavar	lavar-se/limpar/banhar-se/bochechar/descontaminar/duchar/ensaboar/gargarejar/enxaguar/esfregar/limpar/bater
lavar-se	bochechar/gargarejar/enxaguar/esfregar
leccionar	reforçar/educar/instruir/preparar/treinar/palestrar/edificar/indoutrinar/desaprender/catequizar/clarificar/esclarecer/educar/instruir/introduzir/iniciar/falar
lecionar	reforçar/educar/instruir/preparar/treinar/palestrar/edificar/indoutrinar/desaprender/catequizar/clarificar/esclarecer/educar/instruir/introduzir/iniciar/falar
legar	lembrar-se/lembrar
lembrar	relembrar/recordar/rever/reter/reconhecer/caracterizar/caraterizar/rever/conhecer/qualificar
lembrar-se	reconhecer/rever/conhecer
ler	anagramar/anagramatizar/reler/decifrar/indicar/dizer/bater
lesar	aferroar/apunhalar/esfaquear/ferir/danificar/machucar/atropelar/calcar/contundir/escorriar/escorriçar/estirar/tirotear/traumatizar/excruciar/incapacitar/mutilar/pisotear/torturar/arranhar/atormentar/ferir/fraturar/raspar/amassar/puxar/machucar/torcer/atirar/quebrar
lesionar	aferroar/apunhalar/esfaquear/lesar/ferir/danificar/machucar/atropelar/calcar/contundir/escorriar/escorriçar/estirar/tirotear/traumatizar/excruciar/incapacitar/mutilar/pisotear/torturar/arranhar/atormentar/ferir/fraturar/raspar/amassar/puxar/machucar/torcer/atirar/quebrar
levantar	bombear/hastear/içar/alçar/levitar/enfileirar/erguer/aumentar
levar	transportar/trazer/carregar/tirar/aerotransportar/arcar/irradiar-se/transviar/radiar/auxiliar/irradiar/sinalizar/ajudar/guiar/chegar/carregar/conduzir
liberar	sangrar/ejacular/expectorar/ovular/peidar/supurar/vomitar/abortar/expelir/cuspir
lidar	gerenciar/aguentar/cartear/discorrer/administrar/enfrentar/lotear/teologizar/coordenar/defrontar/gerenciar/gerir/improvisar/discursar/discutir/processar/atribuir/confrontar/sobreviver/corresponder/cuidar/tratar/aplicar/organizar/satisfazer/controlar/dirigir/usar/falar/conduzir/dar
liderar	capitanear
ligar	amordaçar/laçar/desligar/amarrar/atar/apagar
limitar	constrangir/conquistar/sufocar/classificar/reprimir/suprimir/restringir/conter/controlar/contentar/demarcar/abnegar/abster/cercear/delimitar/domar/estorvar/inibir/mortificar/crucificar/obstruir/subjugar/impedir/desanimar/reprimir/suprimir/localizar/marcar/regular/recusar/restringir/treinar/satisfazer/controlar/prender/ligar/reduzir
limpar	lavar-se/escovar/varrer/lavar/banhar-se/bochechar/descontaminar/desempoeirar/desinfectar/desinfetar/duchar/ensaboar/higienizar/catar/gargarejar/sanitizar/enxaguar/escovar/varrer/enxugar/esfregar
liquidar	amortizar
livrar	declorinar/defibrinar/delocalizar/descafeinar/desionizar/desoxigenar/desulforizar/descartar
lograr	atraiçoar/emboscar/trair/burlar/ludibriar/mistificar/tapear/trapacear/enganar/trair
lotear	alocar/reservar/separar
louvar	preconizar/publicitar/recomendar/divulgar/promover/anunciar/comendar/eulogizar/canonizar/parabenizar/adular/congratular/aclamar/aplaudir/rachar/exaltar/glorificar/bajular/saudar/aprovar
lucrar	capitalizar
lustrar	aculturar/civilizar/escolar/alisar/educar/polir/cultivar/treinar
lutar	pugnar/aguerrir/boxar/boxear/combater/duelar/esgrimir/guerrear/digladiar/assaltar/batalhar/brigar/defender/atacar/resistir/conduzir
machucar	aferroar/lesionar/apunhalar/esfaquear/lesar/ferir/danificar/atropelar/calcar/contundir/escorriar/escorriçar/estirar/tirotear/traumatizar/agoniar/excruciar/incapacitar/formigar/mutilar/pisotear/torturar/arranhar/atormentar/ferir/fraturar/raspar/amassar/puxar/torcer/atirar/incomodar/quebrar
macular	poluir/lambuzar/contaminar/enlamear/sujar
magoar	apiedar/apiedar-se/compadecer/compadecer-se/dilacerar/humilhar/prantear/descompor/lacerar/lastimar/mortificar/alfinetar/aviltar/ofender/insultar/rebaixar/lamentar/machucar
malhar	treinar
maltratar	victimizar/vitimar
manar	entornar/verter/derramar/segregar/escoar/redemoinhar/fluir/jorrar/circular/girar/correr
manchar	poluir/lambuzar/contaminar/enlamear/sujar
mandar	comandar/convocar/exigir/chamar/ordenar/instruir/dirigir/registrar
manejar	baralhar/operar/embaralhar/amassar/trabalhar/controlar/misturar/empunhar/manusear/bombear/brincar
mangar	paquerar/desacreditar/ridicularizar/sacanear/expor/provocar/satirizar/ridicularizar
manifestar	esclarecer
manipular	baralhar/operar/embaralhar/amassar/trabalhar/controlar/misturar/empunhar/manejar/manusear/brincar
manobrar	estacionar/acuar/encurralar/pilotar/navegar/emboscar/canalizar/guiar/conduzir
manter	armazenar/financiar/acumular/negar/suportar/guardar/agrilhoar/distanciar-se/acorrentar/alegar/algemar/subsidiar/subvencionar/armazenar/distanciar/economizar/fiar/pressurizar/proclamar/afastar/deter/patrocinar/prover/deduzir/poupar/preservar/conservar/amarrar/atar/registar/afirmar/reter/estar/guardar/declarar/registrar/continuar/segurar/ficar
manufaturar	mitologizar/mitificar/confabular
manusear	baralhar/operar/embaralhar/amassar/trabalhar/controlar/misturar/empunhar/espancar/manejar/maltratar/bombear/manipular/brincar
maquiar	empoar/realçar/enfatizar/pintar
maquilar	empoar/realçar/enfatizar/pintar
marcar	grifar/sublinhar/ondear/estacar/estigmatizar/traçar/delinear
martelar	foliar
mascar	roer/morder
mascarar	camuflar/dissimular/disfarçar/esconder
mastigar	roer/mascar/morder
matar	decapitar/degolar/executar/apedrejar/chacinar/empalar/empeçonhar/justiçar/lapidar/linchar/suicidar/suicidar-se/trucidar/aniquilar/balear/devastar/dizimar/electrocutar/eletrocutar/exterminar/fazerdormir/massacrar/sacrificar/abater/intoxicar/vaporizar/assassinar/erradicar/afogar/asfixiar/liquidar/despachar/estrangular/neutralizar/sufocar/eliminar/envenenar/extinguir/suprimir/executar
materializar	sair
meandrar	serpentear
medir	durar/pesar/enaltecer/reavaliar/elogiar/estandardizar/padronizar/valorizar/calibrar/louvar/triangular/censurar/avaliar/corrigir/pesar
melhorar	aprimorar/convalescer/reparar/emendar/lustrar/consertar/polir/recuperar/refinar/reformar/embonecar/perfazer/atenuar/cicatrizar/confortar/empetecar/sarar/amenizar/aperfeiçoar/apurar/emendar/enriquecer/destilar/embelezar/socorrer/curar/educar/frutificar/sublimar/purificar/acalmar/reformar/regenerar/acordar/resolver/ajudar/aliviar/construir/desenvolver/levantar
mencionar	aludir/citar
mendigar	esmolar
menosprezar	escarnear/tantalizar/sacanear/debochar/mangar/pagodear/zoar/desabonar/desprestigiar/escarnecer/rir/desacreditar/esnobar/ridicularizar/sacanear/zombar
mensurar	cronometrar/pesar/calibrar/triangular/medir/titular/pesar/andar
mentir	perjurar
mesclar	misturar
meter	fornicar
mexer	contorcer/enroscar/espernear/torcer-se/manar/virar-se/arremessar/dançar/estalar/fluir/flexionar/pulsar/tornar-se/tropeçar/alongar/impulsionar/esticar/dobrar/girar/pular/sacudir/saltar/tremer/sair/correr/partir/agitar/deixar/virar/separar/bater/escorrer/jogar-se/movimentar/mutuar/pinotear/ribombar/surpreender-se/unir-se/vassourar/abalar/bailar/chafurdar/oscilar/reciprocar/trovoar/dançar/dirigir-se/fluir/gravitar/ondular/riscar/acenar/recuar/vibrar/clicar/pulsar/tropeçar/varrer/encostar/voar/assumir/montar/rolar/escalar/acordar/atravessar/pular/saltar/tremer/desaparecer/correr/agitar/virar/subir/bater
minar	minerar
mirar	fitar/vislumbrar/espiar/encarar/contemplar/olhar/ver/custodiar/embasbacar/embasbacar-se/invigilar/vigiar/flertar/admirar/contemplar/olhar/considerar/ver
misturar	incorporada/mesclar/aliar/sincretizar/agregar/incorporar/integrar/acrescentar/combinar
mobiliar	redecorar
modelar	atar/plasmar/achatar/amoldar/individualizar/retorcer/aplainar/arredondar/esculpir/cristalizar/distorcer/moldar/remodelar/deformar/enxugar/forjar/fundir/acomodar/reformar/circular/torcer/transformar/enrolar/cortar
modificar	alargar/ativar/comercializar/desvirar/impactar/aperfeiçoar/endireitar/inverter/acertar/completar/afetar/modelar/investir/causar/formar/manchar/substituir/ajustar/corrigir/melhorar/encher/estender/trocar/reduzir/diminuir/abrandar/acostumar-se/acromatizar/adequar/adiantar/agudizar/amalgamar/amaneirar/animizar/aprontar/arrendondar/arterializar/assear/automatar/avelhentar/averbar/avianizar/avolumar/bestializar/centralizar/cevar/circularizar/colorizar/convencionalizar/demonizar/demulsificar/deodorizar/depravar/desabilitar/desactivar/desafinar/desamolar/desantificar/desarmonizar/descentralizar/desconcentrar/desenfatizar/desensitivizar/desinflar/desmitificar/desordenar/despersonalizar/despolarizar/dessensibilizar/diabolizar/efeminar/endemoninhar/enfeiar/engrossar/erotizar/estatizar/eterealizar/evaziar/externar/femininizar/fortalecer/glamorizar/habilitar/habituar/habituar-se/hidrogenar/humanizar/imaterializar/inabilitar/indispor/inseminar/intransitivizar/madurar/magnetizar/nazificar/objectificar/obnubilar/ocidentalizar/oportunizar/orientalizar/ornar/paganizar/perverter/politizar/radicalizar/rarificar/restorar/sanear/satanizar/sexualizar/simetrizar/simplificar/tenderizar/tontear/transitivizar/transubstanciar/uniformizar/verbificar/volatizar/acetilar/acostumar/activar/adaptar/afectar/afrancesar/afrouxar/agravar/alcalinizar/alegorizar/alhear/americanizar/ampliar/atear/automatizar/avariar/barbarizar/bolhar/civilizar/complicar/comunizar/corromper/decimalizar/democratizar/desamarrar/desativar/desembaralhar/desestabilizar/desmagnetizar/desnaturalizar/desobstruir/desqualificar/digitalizar/dinamizar/dissonar/embaçar/empetecar/emprestar/emulsionar/energizar/engordar/equiparar/espessar/estabilizar/estranhar/eternizar/europeizar/exacerbar/externalizar/fecundar/fertilizar/imortalizar/inativar/incapacitar/internacionalizar/islamizar/isomerizar/liberalizar/liquidificar/masculinizar/militarizar/mitologizar/nacionalizar/normalizar/objetivar/obscurecer/oficializar/ofuscar/opalescer/opalizar/ossificar/oxidar/personalizar/plastificar/privatizar/prostrar/redigir/sanitizar/saponificar/saturar/sensibilizar/sensitivizar/suburbanizar/sutilizar/transfigurar/transmudar/vascularizar/viciar/vitalizar/vitrificar/vivificar/alcoolizar/alumiar/amaciar/amadurecer/amansar/arredondar/brutalizar/cegar/chorar/coagular/comedir/concentrar/conformar/constitucionalizar/descolorir/desintegrar/despertar/desvirtuar/diversificar/domar/domesticar/dopar/emagrecer/encerrar/enfeitar/envelhecer/escurecer/esfriar/esquematizar/estreitar/gelatinizar/industrializar/ionizar/lubrificar/macular/mecanizar/mitificar/ornamentar/padronizar/polarizar/possibilitar/pressurizar/purgar/recombinar/reconstruir/refrigerar/resfriar/restabelecer/restaurar/retardar/revolucionar/romantizar/santificar/secar/sentimentalizar/subverter/tensionar/territorializar/turvar/urbanizar/vulgarizar/amolar/assimilar/bagunçar/calcificar/calibrar/castigar/clarificar/coalhar/consertar/contaminar/contribuir/desacelerar/editar/embelezar/enlamear/enrijecer/especializar/fortificar/gelar/invalidar/molhar/oxigenar/progredir/rachar/refazer/socializar/sujar/visualizar/aerar/alienar/alterar/amortecer/aviltar/condensar/converter/danificar/debilitar/embaralhar/esquentar/esvaziar/glorificar/intensificar/mover/naturalizar/refrescar/remodelar/suavizar/sublimar/traduzir/unificar/validar/acelerar/afetar/afiar/aquecer/atrasar/balançar/colorir/compatibilizar/deformar/desvalorizar/disciplinar/elevar/enxugar/expandir/igualar/neutralizar/purificar/racionalizar/refinar/sincronizar/apertar/apressar/clarear/endurecer/envenenar/ferver/irradiar/isolar/moderar/piorar/reformar/retificar/adornar/causar/compensar/decorar/enfraquecer/manchar/marcar/produzir/regenerar/suspender/acordar/baixar/finalizar/mexer/preparar/transportar/adicionar/ajustar/atrair/capturar/corrigir/revelar/temperar/transformar/animar/apagar/derrubar/sacudir/concluir/confundir/esconder/excitar/encher/estender/trazer/unir/misturar/terminar/trocar/levar/provocar/colocar/deixar/limpar/reduzir/virar/carregar/conduzir/mudar/quebrar/tocar/diminuir/cair/aumentar/fazer
moldar	plasmar/remoldar/amoldar/esculpir/refazer/remodelar/forjar/fundir/modelar/reformar/transformar/cortar
molestar	enfadar/tormentar/retalhar/atormentar/crucificar/importunar/incomodar
molhar	aspergir/demolhar/orvalhar/umedecer/irrigar/enxaguar/aguar/regar
montar	fornicar/galopar/escalar/subir
morar	alojar/acampar/coabitar/conviver/domiciliar/sobrepovoar/superpovoar/aninhar/nidificar/ninhar/residir/superlotar/bordejar/habitar/viver/ocupar
morder	roer/trincar/mordiscar
mordiscar	roer/trincar/morder
morrer	afogar-se/afogar/tombar/sucumbir/asfixiar/estrangular/sufocar/cair
mortificar	esmagar/degradar/aviltar/desvalorizar/rebaixar
mostrar	evocar/acentuar/pontuar/postar/enfatizar/articular/manifestar/demonstrar/expor/sugerir/formular/expressar/exibir/revelar/apresentar/descobrir/trazer/dizer/apregoar/conotar/desabafar/desafogar/empavonar/pavonear/tencionar/trunfar/aduzir/alegar/brandir/ostentar/desdenhar/divulgar/reportar/assinalar/esclarecer/flutuar/manifestar/posar/presumir/relatar/ameaçar/delinear/denunciar/implicar/reverberar/sorrir/citar/demonstrar/projectar/projetar/berrar/certificar/apontar/aprovar/exibir/provar/refletir/abrir/anunciar/soar/indicar/dizer/agitar/bater
