abalroar	assentar
amolecer	descongelar
amortecer	petrificar/suavizar/enfraquecer
amparar	sediar/acolher/hospedar
ampliar	intensificar/estender/aumentar/maximizar/multiplicar/alongar/elevar/expandir/regenerar/estender/subir/aumentar
analizar	comparar/examinar/experimentar/auditar/auditorar/escrutinizar/anatomizar/diagnosticar/minuciosamente/pormenorizar/reexaminar/discernir/traçar/checar/investigar/pesquisar/rever/conferir/inspecionar/buscar/explorar/examinar/procurar/seguir/considerar/ver
andar	engatinhar/gatinhar/rastejar/rastejar-se/retroceder/serpear/vadiar/vagabundear/vaguear/boiar/pisar/retirar-se/devolver/pisotear/regressar/ascender/escorregar/nadar/recuar/errar/marchar/passear/perambular/vagar/deslizar/voar/apressar/retornar/acompanhar/atravessar/pular/saltar/caminhar/dirigir/correr/seguir/ir/subir/passar/cair/apressar-se/baldear/coxear/deambular/descarrilar/despachar-se/esgueirar/esquiar/excursionar/ganir/joeirar/mancar/percorrer/sobrevoar/sonambular/tropicar/vadear/cavalgar/descarrilhar/desfilar/flanquear/pisar/velejar/ziguezaguear/galopar/peneirar/pisotear/retrogradar/rondar/sulcar/ascender/flutuar/nadar/navegar/progredir/recuar/avançar/cruzar/embaralhar/errar/marchar/passear/perambular/perseguir/preceder/propagar/tropeçar/vagar/acelerar/rodar/viagem/voar/apressar/descer/montar/prosseguir/amassar/baixar/brincar/circular/empurrar/viajar/atravessar/espalhar/vir/caminhar/continuar/trocar/seguir/virar/ir/subir/passar/pegar/cair
anexar	fixar/amarrar/atar/prender/anilhar/apor/arrear/cangar/encilhar/jungir/atrelar/etiquetar/ajuntar/cravar/inserir/rotular/afixar/selar/suplementar/colar/pregar/introduzir/prender/unir/pegar
angustiar	agoniar/excruciar/torturar/atormentar/incomodar
animar	recrear/divertir/reanimar/reavivar/rejubilar/renascer/envigorar/vivificar/alentar/exultar/encorajar/reviver/seduzir/tentar
animar-se	rejubilar/exultar
ansiar	suspirar/desejar/ambicionar/cobiçar/esperançar/invejar/aguardar/perseguir/querer/esperar/procurar/desejar
antecipar	conjecturar/hipotetizar/teorizar/pressupor/presumir/especular/supor/assumir/confiar/supor/acreditar/pensar/esperar/achar
anunciar	postar/apregoar/trunfar/divulgar/promulgar/reportar/relatar/denunciar/berrar/soar
apagar	desmagnetizar/desligar
aparecer	comparecer/destacar-se/mostrar-se/re-emergir/reaparecer/ressaltar/aflorar/reluzir/evidenciar/manifestar/emergir/surgir/sair
aparelhar	blindar/encouraçar/re-equipar/reaparelhar/entronar/amordaçar/armar/mecanizar/motorizar/investir
aperceber	enxergar/ouvir/saborear/doer/escutar/cheirar/sentir/saber/olhar/ver/alucinar/avistar/delirar/divisar/captar/apalpar/sonhar/adivinhar/perceber/sentir/ver/pegar
aperceber-se	enxergar/ouvir/saborear/doer/escutar/cheirar/sentir/saber/olhar/ver/alucinar/avistar/delirar/divisar/captar/apalpar/sonhar/adivinhar/perceber/sentir/ver/pegar
aperfeiçoar	aprimorar/reparar/emendar/lustrar/consertar/polir/refinar/reformar/melhorar/embonecar/perfazer/atenuar/empetecar/optimizar/otimizar/amenizar/apurar/emendar/enriquecer/destilar/embelezar/socorrer/educar/frutificar/polir/sublimar/purificar/reformar/regenerar/acordar/resolver/ajudar/aliviar/construir/desenvolver/melhorar/levantar
apertar	atarrachar/rosquear/comprimir/esmagar/espremer/contrair/tensionar/espremer/empurrar
apetrechar	blindar/encouraçar/re-equipar/reaparelhar/entronar/amordaçar/armar/mecanizar/motorizar/investir
apinhar	pulular/lotar/apertar
aplainar	rolar
aplicar	temperar/passar
apoiar	acorrer/respaldar/endossar/secundar/socorrer/assistir/auxiliar/aprovar/ajudar/apadrinhar/patrocinar/encorajar/promover/estimular
apontar	dirigir-se/assinalar/reverberar/refletir
apostar	jogar
apreciar	agradecer/reconhecer
apresenta	constar/gabar-se/estrelar/protagonizar/involver/possuir/exalar/portar/implicar/ler/ter/usar/dizer/carregar
apresentar	actuar/desvirar/distorcer/manifestar/demonstrar/expor/atuar/exibir/revelar/descobrir/enrolar/mostrar/trazer/representar/tocar/fazer/empavonar/estreiar/pavonear/reintroduzir/tencionar/argumentar/brandir/ostentar/performar/flutuar/posar/arguir/delinear/projectar/projetar/reger/exibir/refletir/abrir/indicar/mostrar/agitar/conduzir
