abagunçar	desordenar/bagunçar
deslizar	escorregar/viajar/viajar/caminhar/caminhar/ir/ir/andar/andar/deslocar/mover
deslocar	mover
deslocar-se	deslocar/mover
desmantelar	retirar/remover/tirar
desmarcar	remover/tirar
desmentir	representar
desmontar	descer/baixar/cair
desmoronar	desintegrar/mudar/mudar/separar
desnudar	retirar/limpar
desobrigar	ceder/entregar/passar/dar
desobstruir	modificar/alterar/mudar
desordenar	modificar/alterar/mudar
desorganizar	desordenar/bagunçar
desovar	causar/provocar/fazer
desoxidar	alterar/mudar
despachar	matar/transmitir/expedir/deslocar/mover/embarcar/transportar/enviar/trazer
despachar-se	viajar/caminhar/ir/andar
despedaçar	mudar
despejar	prover/abastecer/fornecer/suprir
despender	pagar
desperdiçar	delapidar/despender/dilapidar/esbanjar/gastar/empregar/utilizar/usar
despertar	tornar/virar/mudar
despidir	cumprimentar/saudar
desprender	retirar/remover/tirar
destinar	planejar
destripar	retirar/remover/tirar
destruir	estraçalhar/destroçar/arruinar
desvalorizar	humilhar/mortificar/aviltar/rebaixar
desvanecer	deslocar/mover
desventrar	retirar/remover/tirar
desvirtuar	modificar/alterar/mudar
desviscerar	retirar/remover/tirar
deter	reter/guardar/segurar/manter/desabilitar/desativar/incapacitar
deteriorar	decair/piorar/avariar/danificar
devastar	matar
dever	estar/ser
devolver	transportar/trazer/levar/tirar
devotar	empregar/utilizar/usar
dialogar	comunicar/transmitir/falar
diferenciar	caracterizar/caraterizar/distinguir/identificar/qualificar/reconhecer/separar
difundir	lançar
digladiar	brigar/disputar/lutar
dilapidar	despender/gastar
diminuir	decrescer/decrescer/desabar/desabar/modificar/alterar/minguar/minguar/reduzir/reduzir/mudar
direcionar	mirar/apontar
dirigir	governar/reger/viajar/caminhar/ir/andar/lidar/cuidar/mirar/direcionar/apontar/guiar
dirigir-se	comunicar/transmitir
disconcertar	embaraçar/constrangir/envergonhar
discriminar	distinguir/diferenciar/separar
discutir	proferir/verbalizar/conversar/conversar/falar/falar/dizer
disfarçar	omitir/tampar/tapar/acobertar/ocultar/encobrir/esconder
dispensar	tratar/entregar/dar
dispersar	partir/separar
dispor	botar/despender/gastar/pôr/colocar/carregar/providenciar/arranjar
dissipar	delapidar/dilapidar/esbanjar/desperdiçar
dissolver	mudar
distanciar	conservar/reter/manter
distanciar-se	conservar/reter/manter
distinguir	caracterizar/caraterizar/identificar/qualificar/diferenciar/reconhecer/separar
disturbar	comover/agir/afetar/impressionar/atuar/parecer/fazer
ditar	proclamar
divertir	entreter/socializar
dividir	comprar/expulsar/obter/adquirir/receber/computar/calcular/alterar/deslocar/empregar/mover/utilizar/usar/partir/mudar/mudar/mudar/separar
divisar	aperceber/aperceber-se/perceber/entender
divulgar	informar/anunciar/contar/mostrar
